alpha;beta;L_z_base;L_h_base;L_z_shock;L_h_shock
0.2;0.2;0.462071336;0.112551228;0.693107004;0.009868709
0.25;0.2;0.408389732;0.121661789;0.612584599;0.034149703
0.3;0.2;0.366331538;0.127807707;0.549497306;0.052386508
0.35;0.2;0.332549992;0.131702189;0.498824989;0.066199918
0.4;0.2;0.304881626;0.133777498;0.457322439;0.076612194
0.45;0.2;0.281868518;0.134290587;0.422802778;0.084281656
0.5;0.2;0.262495613;0.133378453;0.39374342;0.089629184
0.55;0.2;0.246038382;0.131086509;0.369057573;0.092908139
0.6;0.2;0.231970794;0.127380454;0.347956191;0.094241769
0.65;0.2;0.219908178;0.122145956;0.329862267;0.093639341
0.7;0.2;0.209571518;0.115176722;0.314357278;0.090995393
0.75;0.2;0.200766039;0.10614826;0.301149058;0.086071657
0.8;0.2;0.193370657;0.094570337;0.290055985;0.078456115
0.85;0.2;0.187337727;0.079703415;0.281006591;0.067485737
0.2;0.25;0.446074261;0.115898309;0.669111391;0.016770695
0.25;0.25;0.392893735;0.124848466;0.589340602;0.040656951
0.3;0.25;0.35148328;0.130802525;0.527224919;0.05843832
0.35;0.25;0.31838301;0.134497638;0.477574514;0.071785833
0.4;0.25;0.291378776;0.13637616;0.437068165;0.081742639
0.45;0.25;0.268990483;0.13669878;0.403485724;0.088974662
0.5;0.25;0.250194319;0.135603155;0.375291479;0.093904102
0.55;0.25;0.234263344;0.13313376;0.351395016;0.096782551
0.6;0.25;0.22067196;0.129254407;0.33100794;0.097729841
0.65;0.25;0.209036976;0.123848158;0.313555464;0.096750772
0.7;0.25;0.199080904;0.116705354;0.298621356;0.09373448
0.75;0.25;0.190609911;0.107497121;0.285914867;0.08843613
0.8;0.25;0.183502744;0.095727265;0.275254115;0.080435369
0.85;0.25;0.177709854;0.080647687;0.266564781;0.069057914
0.2;0.3;0.429096572;0.119450563;0.643644859;0.024095769
0.25;0.3;0.376564131;0.12820657;0.564846197;0.047514256
0.3;0.3;0.33592247;0.133941061;0.503883705;0.064780553
0.35;0.3;0.303601581;0.137414331;0.455402372;0.077614019
0.4;0.3;0.277340942;0.139077781;0.416011413;0.087076354
0.45;0.3;0.255642137;0.13919492;0.383463206;0.093839057
0.5;0.3;0.237475703;0.13790333;0.356213554;0.098324046
0.55;0.3;0.222114676;0.135245971;0.333172014;0.100779901
0.6;0.3;0.209035718;0.13118432;0.313553576;0.101322075
0.65;0.3;0.197858494;0.125598473;0.29678774;0.099950149
0.7;0.3;0.18830808;0.118275108;0.28246212;0.096547253
0.75;0.3;0.180192347;0.108880704;0.270288521;0.090861469
0.8;0.3;0.173390402;0.096912849;0.260085602;0.082463649
0.85;0.3;0.167851117;0.081614602;0.251776676;0.07066779
0.2;0.35;0.411045254;0.123227455;0.61656788;0.031884065
0.25;0.35;0.359331798;0.131750316;0.538997697;0.054750645
0.3;0.35;0.319596555;0.137233915;0.479394833;0.071434624
0.35;0.35;0.288164847;0.140460329;0.432247271;0.083700587
0.4;0.35;0.262735687;0.141888604;0.39410353;0.092625662
0.45;0.35;0.241797239;0.141783916;0.362695859;0.098884406
0.5;0.35;0.224318161;0.140282886;0.336477241;0.102896526
0.55;0.35;0.209574309;0.137426285;0.314361463;0.104906134
0.6;0.35;0.197046724;0.133172739;0.295570086;0.105023207
0.65;0.35;0.186359516;0.12739897;0.279539275;0.103241255
0.7;0.35;0.177241503;0.119887667;0.265862255;0.099436724
0.75;0.35;0.16950312;0.110300367;0.25425468;0.093350055
0.8;0.35;0.163024435;0.09812817;0.244536653;0.0845428
0.85;0.35;0.157753111;0.082604983;0.236629667;0.072316737
0.2;0.4;0.391815138;0.127250986;0.587722707;0.040180956
0.25;0.4;0.34111975;0.135495535;0.511679625;0.062398446
0.3;0.4;0.302447685;0.140692755;0.453671527;0.078424114
0.35;0.4;0.272028242;0.143644427;0.408042363;0.090063107
0.4;0.4;0.247527896;0.144815386;0.371291844;0.098403905
0.45;0.4;0.227427556;0.144471047;0.341141334;0.104120997
0.5;0.4;0.210698573;0.142746003;0.316047859;0.107629574
0.55;0.4;0.196622987;0.139678049;0.29493448;0.109167585
0.6;0.4;0.184688691;0.135222363;0.277033037;0.108838265
0.65;0.4;0.174526061;0.129251841;0.261789091;0.106628092
0.7;0.4;0.165868993;0.121544804;0.248803489;0.102406074
0.75;0.4;0.158531463;0.11175754;0.237797194;0.095904394
0.8;0.4;0.152395182;0.099374358;0.228592772;0.08667476
0.85;0.4;0.147407019;0.083619696;0.221110529;0.074006195
0.2;0.45;0.371286861;0.131546134;0.556930291;0.049037942
0.25;0.45;0.321841993;0.139459913;0.482762989;0.070493772
0.3;0.45;0.284412024;0.144330456;0.426618036;0.085775039
0.35;0.45;0.255143065;0.146976235;0.382714597;0.096720782
0.4;0.45;0.2316795;0.147865455;0.34751925;0.104425549
0.45;0.45;0.212502673;0.147262;0.31875401;0.109559913
0.5;0.45;0.196592166;0.145297162;0.294888249;0.112531801
0.55;0.45;0.183240174;0.142004833;0.274860261;0.113571013
0.6;0.45;0.171944314;0.137336065;0.257916472;0.112772591
0.65;0.45;0.162343317;0.131159402;0.243514976;0.110114898
0.7;0.45;0.154177685;0.123248394;0.231266528;0.105458662
0.75;0.45;0.147266032;0.11325373;0.220899049;0.098527127
0.8;0.45;0.141492481;0.100652606;0.212238721;0.088861566
0.85;0.45;0.136803585;0.084659648;0.205205378;0.075737675
0.2;0.5;0.349324378;0.136141361;0.523986568;0.058513721
0.25;0.5;0.301402164;0.143663265;0.452103245;0.079077087
0.3;0.5;0.265418962;0.14816126;0.398128443;0.09351618
0.35;0.5;0.237455991;0.150466273;0.356183986;0.103694639
0.4;0.5;0.21514915;0.151046767;0.322723724;0.110706302
0.45;0.5;0.196989781;0.150162911;0.295484671;0.115213111
0.5;0.5;0.181972364;0.147941168;0.272958545;0.117612441
0.55;0.5;0.16940394;0.144410451;0.254105911;0.118123633
0.6;0.5;0.158795189;0.139516896;0.238192783;0.116831869
0.65;0.5;0.14979559;0.133124112;0.224693384;0.113706165
0.7;0.5;0.142153984;0.125000419;0.213230976;0.108598037
0.75;0.5;0.13569487;0.114790525;0.203542305;0.101221038
0.8;0.5;0.130305643;0.101964166;0.195458465;0.091105362
0.85;0.5;0.125933086;0.085725793;0.188899629;0.077512766
0.2;0.55;0.325771949;0.141069254;0.488657923;0.068675487
0.25;0.55;0.279691922;0.148127871;0.419537883;0.088193887
0.3;0.55;0.245390187;0.152200962;0.36808528;0.101679453
0.35;0.55;0.218908505;0.15412609;0.328362758;0.111007748
0.4;0.55;0.197891861;0.154367981;0.296837792;0.117263257
0.45;0.55;0.18085343;0.153180409;0.271280146;0.12109351
0.5;0.55;0.166810619;0.150683186;0.250215929;0.122881416
0.55;0.55;0.155090846;0.146898978;0.23263627;0.122833157
0.6;0.55;0.145221721;0.141768105;0.217832581;0.121022145
0.65;0.55;0.136866226;0.135148578;0.205299339;0.117406659
0.7;0.55;0.12978351;0.126802974;0.194675265;0.111827954
0.75;0.55;0.123805358;0.116369601;0.185708037;0.103989065
0.8;0.55;0.118823415;0.103310358;0.178235123;0.093408407
0.85;0.55;0.114785304;0.086819134;0.172177957;0.079333135
0.2;0.6;0.300450435;0.146367294;0.450675652;0.07960053
0.25;0.6;0.256589029;0.152878869;0.384883543;0.097895506
0.3;0.6;0.224238605;0.156467129;0.336357908;0.110300357
0.35;0.6;0.199436259;0.157968381;0.299154389;0.118685481
0.4;0.6;0.179858605;0.157838533;0.269787907;0.124115044
0.45;0.6;0.164055267;0.156321665;0.2460829;0.127215086
0.5;0.6;0.151076231;0.153528767;0.226614346;0.128349395
0.55;0.6;0.140275807;0.149474774;0.210413711;0.127707839
0.6;0.6;0.131203033;0.144093156;0.196804549;0.125349865
0.65;0.6;0.123537548;0.137235568;0.185306321;0.121221442
0.7;0.6;0.117051041;0.128658277;0.175576562;0.115152387
0.75;0.6;0.111584176;0.117992727;0.167376264;0.106834309
0.8;0.6;0.10703394;0.104692573;0.16055091;0.095773078
0.85;0.6;0.103349493;0.087940723;0.15502424;0.081200538
0.2;0.65;0.273152738;0.152078812;0.409729107;0.091378203
0.25;0.65;0.23195504;0.15794473;0.34793256;0.108240078
0.3;0.65;0.201867079;0.160979352;0.302800618;0.119418483
0.35;0.65;0.178968324;0.162007143;0.268452486;0.126755807
0.4;0.65;0.16099584;0.161468725;0.24149376;0.131282005
0.45;0.65;0.146553722;0.159594454;0.219830583;0.133592987
