"alpha","beta","growth_change","labor_share_change"
0.2,0.2,-1.5509407170749,-10.7714572655347
0.25,0.2,-1.22282062984938,-9.60745508502219
0.3,0.2,-1.00319488817891,-8.90675718180521
0.35,0.2,-0.845497420577293,-8.44455791204717
0.4,0.2,-0.726437699680512,-8.12178703226196
0.45,0.2,-0.633068810333574,-7.88805644811957
0.5,0.2,-0.557614483493078,-7.71509519950614
0.55,0.2,-0.495117529820626,-7.58587934524393
0.6,0.2,-0.442263806481059,-7.48961071824294
0.65,0.2,-0.396748677898838,-7.41917772050181
0.7,0.2,-0.356914650844363,-7.36977866804201
0.75,0.2,-0.321533546325879,-7.33813410841374
0.8,0.2,-0.289669861554846,-7.3220176564557
0.85,0.2,-0.260591748854008,-7.31996931964605
0.2,0.25,-1.45400692225772,-10.3079907364118
0.25,0.25,-1.1463943404838,-9.25319527693615
0.3,0.25,-0.940495207667732,-8.61427852154043
0.35,0.25,-0.792653831791212,-8.19121384028565
0.4,0.25,-0.68103534345048,-7.89502736634589
0.45,0.25,-0.593502009687725,-7.68018555252804
0.5,0.25,-0.522763578274761,-7.52102847171003
0.55,0.25,-0.464172684206837,-7.40205394545259
0.6,0.25,-0.414622318575993,-7.3134047206694
0.65,0.25,-0.37195188553016,-7.24857674423052
0.7,0.25,-0.33460748516659,-7.20317256939271
0.75,0.25,-0.301437699680511,-7.17418622075693
0.8,0.25,-0.271565495207668,-7.15957636955593
0.85,0.25,-0.244304764550632,-7.15800514102808
0.2,0.3,-1.35707312744054,-9.86054777767992
0.25,0.3,-1.06996805111821,-8.90849457938795
0.3,0.3,-0.87779552715655,-8.32832274503953
0.35,0.3,-0.739810243005131,-7.94271838156891
0.4,0.3,-0.635632987220448,-7.67209258205275
0.45,0.3,-0.553935209041877,-7.47546747620848
0.5,0.3,-0.487912673056443,-7.32965044507964
0.55,0.3,-0.433227838593048,-7.22058484915296
0.6,0.3,-0.386980830670926,-7.13931082871361
0.65,0.3,-0.347155093161483,-7.07990557475912
0.7,0.3,-0.312300319488817,-7.0383592740615
0.75,0.3,-0.281341853035143,-7.01192860295752
0.8,0.3,-0.25346112886049,-6.9987500847255
0.85,0.3,-0.228017780247257,-6.99760313925124
