"alpha","beta","b_l","b_k"
0.2,0.2,0.0377605830670927,0.108208400091554
0.25,0.2,0.0465772097976571,0.12243206927441
0.3,0.2,0.0570052813457651,0.136488385162982
0.35,0.2,0.069504130669036,0.150353333769548
0.4,0.2,0.0847177848775293,0.16399807586586
0.45,0.2,0.103574578195548,0.177387670935533
0.5,0.2,0.127456869009585,0.190479373567609
0.55,0.2,0.158504319015501,0.203220325269035
0.6,0.2,0.200187699680511,0.215544375644995
0.65,0.2,0.258472973854078,0.227367624116729
0.7,0.2,0.344398296059638,0.238582038166437
0.75,0.2,0.480460063897764,0.249046104928458
0.8,0.2,0.719041533546326,0.258570772058824
0.85,0.2,1.20864749733759,0.266897654584222
0.2,0.25,0.0366700778753994,0.112088960097658
0.25,0.25,0.0453883564075257,0.127260873892704
0.3,0.25,0.0557001043228793,0.142254277507181
0.35,0.25,0.068059530786245,0.157043556020851
0.4,0.25,0.0831034788782393,0.171597947590251
0.45,0.25,0.101749927388905,0.185880182331235
0.5,0.25,0.125365814696486,0.199844665138783
0.55,0.25,0.156066934879501,0.213435013620304
0.6,0.25,0.197285343450479,0.226580667354661
0.65,0.25,0.254920453804525,0.239192132391178
0.7,0.25,0.3398872914448,0.2511541740442
0.75,0.25,0.474431309904153,0.262315845257022
0.8,0.25,0.710351437699681,0.272475490196078
0.85,0.25,1.19449591764288,0.28135749822317
0.2,0.3,0.0355795726837061,0.116523885818919
0.25,0.3,0.0441995030173944,0.132779507742183
0.3,0.3,0.0543949272999935,0.148843868757694
0.35,0.3,0.0666149309034539,0.164689524308055
0.4,0.3,0.0814891728789492,0.180283515275269
0.45,0.3,0.0999252765822618,0.195585909640609
0.5,0.3,0.123274760383387,0.210547855505839
0.55,0.3,0.153629550743502,0.225108943164611
0.6,0.3,0.194382987220447,0.239193572165708
0.65,0.3,0.251367933754972,0.252705856133405
0.7,0.3,0.335376286829961,0.265522329333071
0.75,0.3,0.468402555910543,0.27748126277538
0.8,0.3,0.701661341853036,0.288366596638655
0.85,0.3,1.18034433794817,0.297883033810539
0.2,0.35,0.0344890674920128,0.12164110780499
0.25,0.35,0.043010649627263,0.13914716218389
0.3,0.35,0.0530897502771076,0.156447243277517
0.35,0.35,0.0651703310206628,0.173511795408674
0.4,0.35,0.0798748668796592,0.190305324142597
0.45,0.35,0.0981006257756186,0.20678482576681
0.5,0.35,0.121183706070288,0.222897690544749
0.55,0.35,0.151192166607502,0.238578861869581
0.6,0.35,0.191480630990415,0.253746923870763
0.65,0.35,0.247815413705418,0.268298614297513
0.7,0.35,0.330865282215123,0.282100970051
0.75,0.35,0.462373801916933,0.29497982145041
0.8,0.35,0.69297124600639,0.306702488687783
0.85,0.35,1.16619275825346,0.316950959488273
0.2,0.4,0.0333985623003195,0.127611200122072
0.25,0.4,0.0418217962371317,0.14657609236588
0.3,0.4,0.0517845732542218,0.165317846883977
0.35,0.4,0.0637257311378717,0.183804445026064
0.4,0.4,0.0782605608803692,0.201997434487814
0.45,0.4,0.0962759749689753,0.219850227914044
0.5,0.4,0.119092651757189,0.237305831423479
0.55,0.4,0.148754782471502,0.25429376702538
0.6,0.4,0.188578274760383,0.270725834193326
0.65,0.4,0.244262893655865,0.286490165488973
0.7,0.4,0.326354277600284,0.30144271755525
0.75,0.4,0.456345047923323,0.315394806571277
0.8,0.4,0.684281150159745,0.328094362745098
0.85,0.4,1.15204117855875,0.339196872778962
0.2,0.45,0.0323080571086262,0.134666763769533
0.25,0.45,0.0406329428470004,0.155355737126415
0.3,0.45,0.050479396231336,0.175801287509793
0.35,0.45,0.0622811312550806,0.195968485482979
0.4,0.45,0.0766462548810792,0.215815383077615
0.45,0.45,0.094451324162332,0.235291157724412
0.5,0.45,0.117001597444089,0.254333634280158
0.55,0.45,0.146317398335503,0.272865927664051
0.6,0.45,0.185675918530351,0.290791819119993
0.65,0.45,0.240710373606312,0.307989271442516
0.7,0.45,0.321843272985446,0.324301146423909
0.75,0.45,0.450316293929712,0.339521607168666
0.8,0.45,0.675591054313099,0.353375668449198
0.85,0.45,1.13788959886404,0.36548749757705
0.2,0.5,0.0312175519169329,0.143133440146487
0.25,0.5,0.039444089456869,0.165891310839056
